Protei,ProteinB,co_expression
Os04g0483400,Os02g0771100,-0.6462
Os01g0104600,Os02g0771100,0.5688
Os01g0934300,Os02g0771100,-0.3304
Os02g0606200,Os02g0771100,0.6627
Os02g0646200,Os02g0771100,-0.0807
Os01g0182600,Os02g0771100,0.149
Os07g0495200,Os10g0320400,0.8362
Os04g0671900,Os02g0817600,0.2151
Os02g0834000,Os07g0446000,-0.3756
Os10g0188100,Os11g0521900,0.133
Os07g0680800,Os02g0193600,0.2092
Os02g0114000,Os02g0194000,0.4322
Os06g0660200,Os12g0614600,0.4724
Os06g0683400,Os12g0614600,0.1284
Os03g0143800,Os08g0544500,0.8763
Os01g0551800,Os08g0544500,0.4284
Os01g0622700,Os08g0544500,-0.2137
Os03g0736500,Os06g0715100,0.5631
Os05g0569300,Os12g0233800,0.3003
Os06g0108900,Os11g0158600,0.6811
Os05g0324600,Os11g0158600,-0.2312
Os05g0129700,Os11g0158600,-0.6303
Os01g0673600,Os09g0297100,0.7128
Os04g0486500,Os08g0559400,0.0857
Os10g0114400,Os03g0234200,-0.1656
Os10g0114400,Os09g0568400,0.0167
Os02g0122400,Os03g0646100,0.6956
Os09g0363600,Os01g0859300,0.2946
Os07g0602900,Os01g0859300,0.0569
Os02g0833300,Os03g0186800,0.3084
Os03g0367800,Os08g0192400,0.5426
Os03g0162200,Os08g0192400,0.0973
Os02g0771100,Os05g0553400,0.0282
Os03g0363800,Os05g0120100,0.6972
Os02g0610600,Os05g0120100,0.5864
Os10g0115600,Os05g0120100,0.4984
Os03g0374575,Os05g0120100,0.3407
Os03g0612400,Os12g0572000,-0.1008
Os03g0213900,Os12g0572000,-0.1097
Os10g0577800,Os12g0572000,-0.1479
Os02g0130100,Os07g0100200,0.7718
Os06g0217500,Os04g0602300,-0.254
Os03g0717700,Os07g0693500,-0.0485
